	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1	6243.532054020809	5057.456268185475	5321.1635500350085	5369.890791268184																					
2	4052.229910850525	3674.9010878342847	4090.563828938802	3913.244625561858																					
3	4592.704555395878	4005.4765145288757	5103.614294433593	5045.885107925258																					
4	6781.110223725086	5299.02361570944	4526.432932886584	4502.826652832031																					
5	4148.9870867329255	3623.305964476673	1879.8275960286458	1815.7314199829102	4413.912228871541	4313.550059015879																			
6	4403.332674104873	4202.708206284976	1900.6568238707794	1967.3985754394532	4825.893998950308	4637.7029702947																			
7	6696.775684860518	5564.179174470902	2597.486576474946	2854.720010986328	5338.18064358619	5576.600638255981																			
8	4230.089489672558	3397.8155273033294	1768.0607552363954	2603.1742767333985	4378.5886583359315	4332.460802457148																			
9	4188.874247202616	3909.6946462631226	2139.957309065194	4874.643876196633	4973.15940938831	5095.865226889557																			
10	7067.795860481262	6104.441216794053	3341.3218376773525	5975.160175273945	6902.002041752353	5540.103116042323																			
11	4435.437564298042	3576.580094585997	2275.7996847218483	4776.847956946137	4578.45394088114	4515.757605217122	4657.846943010602																		
12	4289.940409284319	3991.8943777373343	4417.130328262061	5159.826274150127	5134.599258521935	5039.941439943764	5230.994343672649																		
13	6842.363796953474	6168.1028652518135	6181.793619791667	5469.407899956954	6354.800981083432	7227.220979360516	6521.666678763725																		
14	4408.687079475039	4100.4386558981505	4136.422711098031	5352.4434734904935	4783.364721240419	4784.893887727157	5480.80120776073																		
15	4187.250732266173	4096.96495252738	4405.407964018203	5512.842121292373	4994.108375637011	4984.261423155916	5870.924366371304																		
16	6690.766191747453	6258.357276284233	6214.432076913339	6874.452535262961	7800.993218813104	7779.925206728894	8071.346146542802																		
17	5616.308531761169	3984.3489228219696	4416.416935765466	5005.8740689066435	4780.4797501521325	4817.388746596827	5692.975575460668																		
18	5882.786687903934	3933.9111331673557	5274.368269894101	5823.307652240663	5111.93138294583	5037.667003468186	6024.756100621101	5078.5311717498																	
19	7310.446762296889	6471.3353515625	6699.3534461712015	7814.345513607906	7714.265757140883	7764.402707039277	8298.569290451085	6369.982164655413																	
20	4953.615988075187	3781.041060670407	5219.60303927016	5619.962600186976	4971.297738950025	4979.767088360569	5905.662122460214	4565.325606944949	4087.247258895483																
21	4809.013679172682	3599.4705764852106	5708.952850980711	5656.327374453945	4944.390306438002	4857.932947373764	5905.306437904604	5395.557005602904	4482.28040831766																
22	7584.7275125254755	6053.055856818122	7394.812291566316	8087.912155933296	8005.072063728213	7534.180412580678	8663.108221396105	7053.65875437903	6456.722762608292																
23	5131.847244027945	3781.1950192023182	5362.029792472644	5578.49400379212	5037.703046434381	4709.525465717632	5849.844666289225	5311.847797212146	4675.720701980591																
24	4620.388642479392	3565.7971289614416	5865.354572296143	5601.603107447202	4882.298443318741	4769.213982599828	5936.8311647859955	5967.888650277945	5150.758642873457	5331.0567160213695															
25	7386.636383981416	6316.165672804781	8296.833861197583	8677.187210218728	7920.189490640503	7524.248603969979	9029.300006780624	8431.169661800419	7134.58399610283	7082.069118592797															
26	5180.707787716027	3947.0521148105836	5712.284375819264	5437.253138456289	5168.776176420445	4918.015624075908	5974.368551942724	5729.136359995062	5597.5086409447895	4880.197265625															
27	4227.45132186196	3746.473510142123	5531.999086626036	5432.767632139349	4994.92715907567	4826.426521268384	5748.179017171743	5911.448049667868	6163.630757493239	5371.932431523672	5216.611364877353														
28	6914.457046161999	5859.121715995703	8362.038067804942	8622.983196874664	7855.408924780727	7665.175607520625	9048.31173386378	8579.44574950749	8549.27519729969	7329.642137024301	6928.298548955503														
29	5384.506506486373	4130.4695832625675	5431.485713907878	5513.092475288569	5080.262981911909	4992.123117917684	5834.18213667174	6044.029348299485	5936.848588236262	5643.074943667552	5033.550196879619														
30	4697.058744369015	5389.474513709027	5694.374636217739	5700.415583354671	5090.967604194183	5030.896179997644	5850.591797403308	5985.36528774293	6245.677242928964	5897.734339674858	5437.717254958227	5457.594322348541													
31	7079.278889558753	7039.388434501317	8602.171882374258	8391.120114728077	7924.59190318995	7500.093086825113	9052.218334232433	8911.925645565558	8567.496517801823	7504.199672176148	7358.623712284048	7413.732173561031	7147.391888592694												
32	4778.531257820129	6083.557768713909	5794.453677713871	5560.551383460879	5230.109471476885	5380.340140857798	6046.260341365507	6169.1098958586645	6188.214483148911	5867.564082895286	6014.61565492591	5204.34094013612	5327.72008947424												
33	4490.877564784459	5733.911780050526	5778.006180559019	5597.573538062686	5036.861774528691	5359.4547804076465	5921.864529060757	5919.133096152359	6018.082385298458	5907.69633684002	5979.415985023352	5500.185586804541	5495.271582272973												
34	6902.831032011244	6885.782630057957	8467.53603202534	7963.52877910184	7912.527740389916	7915.69166165402	9284.761829717836	8978.21647717162	9051.332892768993	8749.330944680996	8510.123454623752	7617.157151928837	6912.573362304687	8184.898990515507											
35	4369.087315453424	4934.347826485012	5263.681298637745	5363.549129180265	5228.961124487637	5285.365891027647	5923.868311776627	5685.125528601814	5833.462006587608	5887.703168737381	6056.783379779598	5668.44849483983	5125.625844319661	5825.364725748698											
36	4116.416493007115	5000.816149106233	5692.885266561833	5503.738420255482	5354.062462915881	5205.828934928699	5927.461473501709	5756.621717585006	6044.133998509457	6234.834436185098	6307.687832076461	6060.067878675757	5686.527973015499	6300.378008563702											
37	6394.053700082254	6956.666667639691	8145.172191299011	8133.03221463821	8274.918180534638	8248.510447728728	9129.957243435047	9116.159641748516	8545.896243038856	9344.096762888877	9191.331820139352	8966.118932369367	7869.454550887599	8832.142496744791											
38	5325.1678010057285	5039.631067425272	5191.543815856484	5660.357218287935	5460.295683997018	5097.077047163915	6005.384641627326	5866.9188623507425	5572.246029447305	5972.2883500586895	6325.324414893598	6265.27623338503	5672.751013199284	6590.429202362192	5574.46174636995										
39	5368.4324092993	4645.785228382458	5521.439085365727	5651.882019071226	5266.8372190019145	5148.627999439215	6043.60810546403	6030.7424104885795	5881.279347978914	6148.860053950625	6551.379815614027	6538.55453932084	6000.494953964696	6853.953058573045	6210.762455505732	6063.458423671438									
40	10287.885883920144	6770.448491506865	7487.1988953908285	8010.094805749828	8042.972067834684	7926.261144951499	8881.765174438862	9196.397264593255	8460.80654942651	8991.989188555302	9537.67505216703	9439.58863034132	8729.085144164796	8954.750219640597	8221.426276573768	7875.817994849082	9461.894598023504								
41	7624.626087982382	4575.801721931226	5385.304780151884	5848.402106468462	5429.381890748279	5282.092055721097	6226.228083243519	6111.575083688204	5503.676739192215	6145.369062942655	6577.994708489093	6580.0243699321245	6261.428049481547	6509.44615197235	5763.080147879465	5992.199996682872	6218.584154369213								
42	7377.003827600671	4402.512705993652	5538.269529627546	5911.2926936902495	5105.3580935934315	5008.290347286081	5967.962345911109	5963.3720220261075	5711.889261524162	5941.111905456008	6275.065816197844	6108.563631954269	6308.831659595104	6366.864171751893	5939.959611343464	6477.799556412236	6528.0980789412315								
43	10238.01561844589	5932.168813069661	8068.769181694349	8661.238503396922	8146.913577763721	8036.83220163637	9362.7211015077	9298.673334178957	8478.388318124888	9235.479906327148	9660.823160807291	9722.697049297863	9173.827905420198	9325.67910885205	8810.275547143727	9058.85177054772	8824.22011522977								
44	6455.2914613045305	4279.637362749148	5504.328250992973	5759.13693729435	5017.818465947701	5245.884373194123	6133.62287134199	6224.928423813124	5664.818078608406	6190.932513387871	6574.66381017589	6303.921461208232	6194.5885175395215	6628.364938919919	5978.02212888803	6501.760715929546	6484.146226351869	6577.958734809028							
45	6555.414189485896	4477.555936146931	6005.465930699906	6201.588331865841	5269.148541381028	5400.951736541021	6452.669638091627	6472.619760366877	6215.742332887771	6424.959187458224	6854.370972317157	6628.550112731697	6686.555949000733	7063.800799301247	6619.222925088101	6873.017887624524	7091.609118330164	7716.984917534723	6257.593225097657						
46	8372.724827708815	4945.981930468456	8623.172645216044	8472.94522206467	7955.59811044138	8320.42966026469	9678.38786321836	9694.318160511968	9006.610972429517	9300.704461345562	10032.17936134687	9726.545603909415	9118.048118433917	10006.340932173694	9183.844562774555	9896.027089405645	9865.852122849685	10559.324074978298	8741.410397338866						
