	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	5627.515146807205	5785.641030336038	5560.768706652583	4706.999994805518															
2	3700.5051291503905	3871.9876685306945	4093.47236328125	3715.7581095377604															
3	4127.6938751909065	4155.648719662526	5159.193089747167	4680.72997376159															
4	5741.143195484303	6062.4186657714845	5851.848158430345	3863.417986188616															
5	3623.5588029095916	3827.973088140073	4366.610306720344	1956.8707478841145	4282.744469011333														
6	4330.275293948876	4246.942860243055	5214.396255311512	2779.2539750356523	4799.433428230932														
7	6302.611110002566	6018.806800599311	6426.48959461848	3409.7354620070682	5046.546567131491														
8	3683.9880887894406	4017.98540886081	4432.824512992318	2580.503396654886	4228.970588748195														
9	3969.162013914527	4148.1854583550685	5360.225360367649	5140.520823160808	5240.462885578786														
10	6083.920441313224	6475.35527791475	7105.94340436309	6563.000044759115	6326.542494351256														
11	3918.31410605863	4068.2432087765465	4687.86552868209	4617.247378465606	4556.585027104333														
12	4076.061953808888	4273.966730405206	5255.522612713298	5689.785111667799	5220.791164443072	5632.559305481992													
13	6525.670411527826	6635.7895753860475	7859.969345390298	6585.2706491570725	7211.489895306211	6617.85713334517													
14	3964.712613394094	3885.0821318626404	5024.811855944135	5503.596871913164	4779.9970703125	5347.9956609552555													
15	4164.98571492513	4346.629284819295	5112.757618764001	5915.1142947174785	4939.920259094239	5870.787736919564	4691.866541812295												
16	6625.091955987338	6343.435400462151	7957.433111039419	7817.328369140625	7874.218123387631	7627.9907475224245	6772.333338120405												
17	3957.000001443399	4129.007134628296	4975.572680910602	5715.364484920058	4992.554476999682	5864.653153465304	5047.656133607376												
18	4262.675521850586	4327.803948585023	5230.856815261671	5865.226568906022	5188.525868617864	5989.164255663697	5899.8560078125												
19	6587.556352574191	5756.318987774593	7852.723971336893	8129.336217626671	8105.309085637873	7772.1592974367395	7661.592326472356												
20	4342.00001646343	4973.463921003444	5177.145850401044	5728.8907620059745	5062.918273759201	5616.348721022016	5770.528824298703												
21	4246.711741492862	4356.577820096697	5033.232029208062	5672.551820709295	5154.989523383247	6072.331168651581	5671.182284394001	5562.554839645607											
22	6820.642282625524	6872.735111781529	8039.106471465873	8585.23048537234	8053.329669028127	8098.305252717671	8114.751107855903	7073.011102973091											
23	4033.8005111062316	4057.65688219641	5291.183291101355	5455.566896467067	5233.269194707115	5491.722738019747	5547.687999700731	5155.406618558443											
24	3955.527949931459	4410.582170300017	5220.857750419809	5790.116349276374	5087.100387605638	5825.657967083271	5900.859715079119	5849.397768905739	6167.126536923363										
25	6132.081949415154	6902.050396574646	8200.06217708285	8440.41411394603	7919.202193525971	8636.81726592037	8404.226850043402	7600.99790162678	8463.866668146307										
26	4145.0801891696065	4483.33906817149	5320.112270825319	5551.389210833081	5010.3301097976255	5451.871071240581	5707.542137997569	5470.861467032597	6089.37735695509										
27	3827.1028279104053	4075.328832230478	5170.354694635096	5625.36231530231	5204.4265480735085	5516.3272970553435	5782.080153536068	5907.990660682091	6099.723505116827	5857.86978448606									
28	6585.384618514623	6638.6163687076205	7899.294818488034	8669.134708716292	8187.582533386589	8597.23704888954	8539.687305412368	8495.231314107674	8805.753034556996	8566.094807942709									
29	4358.1553301130025	5323.419125538952	5337.5140697337965	5501.702754552912	5364.950726253679	5454.254390710901	5669.753805057134	5480.660724346454	6106.8828963714395	5872.715056046196									
30	4794.884364294628	5739.504042139593	5238.502430048528	5748.905159094815	5350.238086867559	5735.42193789415	5764.039295278277	5728.338567424623	6303.3151338864	6140.832643829123	5865.561234454719								
31	8824.785716223338	7596.339618610886	8342.323685312178	8719.668915949642	8104.799259143248	8410.50906302618	8681.17519265393	8414.842592798099	8951.813402893244	8428.255578253289	8341.146275111607								
